,Alter,Einkommen,Geschlecht,Zeit,KundeNr,Preis,Niederlassung
0,30,39919,0.0,29,K1814,,Bayern
1,41,53430,0.0,27,K1544,,Baden-Württemberg
2,64,73163,0.0,32,K1945,,Baden-Württemberg
3,41,36761,0.0,44,K1825,,Baden-Württemberg
4,35,42684,1.0,33,K1144,,Nordrhein-Westfalen
5,67,63881,1.0,27,K1395,,Berlin
6,46,68885,0.0,59,K1405,,Nordrhein-Westfalen
7,63,63083,0.0,40,K1438,,Niedersachsen
8,30,55256,1.0,31,K1313,,Baden-Württemberg
9,32,44873,0.0,44,K1241,,Sachsen
10,66,75200,0.0,35,K1242,,Berlin
11,61,59560,0.0,37,K1801,,Nordrhein-Westfalen
12,66,90643,1.0,25,K1590,,Baden-Württemberg
13,68,80553,0.0,56,K1349,,Baden-Württemberg
14,39,42543,1.0,30,K1449,,Hessen
15,40,33126,0.0,34,K1958,,Baden-Württemberg
16,44,62175,1.0,33,K1726,,Berlin
17,49,51900,0.0,40,K1758,,Bayern
18,48,59967,1.0,21,K1991,,Hessen
19,36,33884,0.0,49,K1215,,Bayern
20,66,67587,1.0,37,K1399,,Nordrhein-Westfalen
21,31,38844,1.0,21,K1552,,Berlin
22,61,66782,0.0,25,K1297,,Nordrhein-Westfalen
23,40,54891,0.0,46,K1787,,Baden-Württemberg
24,49,59388,0.0,21,K1643,,Baden-Württemberg
25,62,92892,0.0,14,K1924,,Nordrhein-Westfalen
26,36,36252,1.0,46,K1135,,Hamburg
27,45,54233,1.0,37,K1778,,Niedersachsen
28,64,84876,0.0,34,K1168,,Baden-Württemberg
29,50,60708,0.0,44,K1501,,Hessen
30,45,54500,0.0,30,K1982,,Hamburg
31,31,34101,1.0,46,K1246,,Bayern
32,50,55260,0.0,46,K1898,,Brandenburg
33,52,71014,1.0,21,K1340,,Bayern
34,34,53036,0.0,46,K1309,,Bayern
35,67,79728,1.0,22,K1725,,Thüringen
36,31,26637,1.0,30,K1128,,Niedersachsen
37,38,48808,1.0,54,K1303,,Baden-Württemberg
38,46,61964,0.0,57,K1947,,Bayern
39,31,27594,0.0,49,K1844,,Bayern
40,68,83333,1.0,33,K1225,,Bayern
41,48,54207,0.0,45,K1582,,Nordrhein-Westfalen
42,40,65585,0.0,43,K1942,,Bayern
43,37,39421,1.0,38,K1895,,Berlin
44,69,108569,1.0,47,K1467,,Nordrhein-Westfalen
45,69,91624,1.0,21,K1191,,Niedersachsen
46,43,67392,0.0,45,K1172,,Nordrhein-Westfalen
47,52,68557,0.0,27,K1455,,Sachsen
48,37,51083,0.0,41,K1315,,Baden-Württemberg
49,51,52205,0.0,42,K1764,,Baden-Württemberg
50,68,96580,0.0,30,K1553,,Nordrhein-Westfalen
51,63,80825,1.0,50,K1925,,Berlin
52,63,56999,1.0,50,K1465,,Berlin
53,66,64794,1.0,35,K1907,,Berlin
54,50,75601,0.0,31,K1385,,Thüringen
55,35,32469,1.0,24,K1690,,Bayern
56,53,51711,1.0,37,K1175,,Baden-Württemberg
57,62,75231,1.0,44,K1404,,Baden-Württemberg
58,39,37428,1.0,37,K1316,,Niedersachsen
59,53,75785,0.0,49,K1149,,Bayern
60,39,30485,1.0,44,K1513,,Hamburg
61,60,70853,1.0,30,K1551,,Baden-Württemberg
62,41,57516,1.0,39,K1531,,Berlin
63,37,66419,1.0,28,K1273,,Thüringen
64,45,62279,1.0,27,K1301,,Baden-Württemberg
65,52,70297,0.0,51,K1877,,Nordrhein-Westfalen
66,37,65034,1.0,44,K1177,,Niedersachsen
67,36,41668,0.0,40,K1527,,Bayern
68,43,49480,1.0,23,K1637,,Baden-Württemberg
69,54,56292,1.0,36,K1696,,Hamburg
70,67,78307,0.0,35,K1417,,Hamburg
71,37,43614,1.0,34,K1416,,Bayern
72,49,76602,1.0,19,K1994,,Berlin
73,42,58051,0.0,25,K1940,,Baden-Württemberg
74,46,51857,1.0,44,K1938,,Nordrhein-Westfalen
75,68,79291,0.0,36,K1710,,Nordrhein-Westfalen
76,70,76105,0.0,25,K1872,,Hessen
77,58,68691,1.0,37,K1644,,Nordrhein-Westfalen
78,43,48849,0.0,36,K1462,,Brandenburg
79,65,92223,1.0,41,K1359,,Baden-Württemberg
80,69,85613,1.0,28,K1371,,Hessen
81,47,53430,1.0,30,K1171,,Berlin
82,41,34560,0.0,34,K1424,,Baden-Württemberg
83,38,46846,0.0,46,K1883,,Baden-Württemberg
84,44,53482,1.0,33,K1279,,Bayern
